feature,precision,recall,fbeta,category
workclass,0.5916515426497277,0.9235127478753541,0.7212389380530974,State-gov
workclass,0.45058742225293713,0.9005524861878453,0.6006448641179181,Self-emp-not-inc
workclass,0.5345738295318128,0.8972395728390087,0.6699766794553524,Private
workclass,0.6848484848484848,0.9137466307277629,0.7829099307159353,Federal-gov
workclass,0.5757575757575758,0.893030794165316,0.7001270648030495,Local-gov
workclass,0.413953488372093,0.9319371727748691,0.573268921095008,?
workclass,0.7021028037383178,0.9662379421221865,0.8132611637347769,Self-emp-inc
workclass,0.0,1.0,0.0,Without-pay
workclass,1.0,1.0,1.0,Never-worked
education,0.6805229634596044,0.9140027014858172,0.7801691006917756,Bachelors
education,0.3821949347659248,0.8919402985074627,0.5351002865329514,HS-grad
education,0.6136363636363636,0.45,0.5192307692307692,11th
education,0.7774869109947644,0.9290928050052137,0.8465558194774346,Masters
education,0.8181818181818182,0.3333333333333333,0.4736842105263157,9th
education,0.469811320754717,0.8976207642393655,0.6167946494921973,Some-college
education,0.5256124721603563,0.8905660377358491,0.6610644257703081,Assoc-acdm
education,0.4977238239757208,0.9085872576177285,0.6431372549019607,Assoc-voc
education,0.5365853658536586,0.55,0.54320987654321,7th-8th
education,0.8301369863013699,0.9901960784313726,0.903129657228018,Doctorate
education,0.8393574297188755,0.9881796690307328,0.9077090119435396,Prof-school
education,0.52,0.8125,0.6341463414634146,5th-6th
education,0.28342245989304815,0.8548387096774194,0.42570281124498,10th
education,0.3333333333333333,0.5,0.4,1st-4th
education,0.0,1.0,0.0,Preschool
education,0.3111111111111111,0.8484848484848485,0.4552845528455285,12th
marital-status,0.8518518518518519,0.4684317718940937,0.6044678055190539,Never-married
marital-status,0.5281650415021355,0.9793783622235505,0.6862467933616041,Married-civ-spouse
marital-status,0.7744107744107744,0.49676025917926564,0.6052631578947368,Divorced
marital-status,0.7727272727272727,0.5,0.6071428571428571,Married-spouse-absent
marital-status,0.9459459459459459,0.5303030303030303,0.6796116504854369,Separated
marital-status,1.0,0.2,0.33333333333333337,Married-AF-spouse
marital-status,0.9411764705882353,0.3764705882352941,0.5378151260504201,Widowed
occupation,0.5033557046979866,0.8875739644970414,0.6423982869379015,Adm-clerical
